Measure Names,Municipio,Measure Values
Brechas de género en Cuentas** SOFIPO (Hombres),Delicias,895
Brechas de género en Cuentas** SOFIPO (Mujeres),Delicias,1181
Brechas de género en Cuentas** Total cuentas (Brechas),Delicias,56
Brechas de género en Cuentas** Total cuentas (Hombres),Delicias,101053
Brechas de género en Cuentas** Total cuentas (Mujeres),Delicias,113030
Cajeros Automáticos Banca de desarrollo,Delicias,0
Cajeros Automáticos Banca múltiple,Delicias,90
Cajeros Automáticos SOCAP,Delicias,4
Cajeros Automáticos SOFIPO,Delicias,0
Cajeros Automáticos Total,Delicias,94
Corresponsales Máximos,Delicias,57
Créditos Banca de desarrollo,Delicias,2115
Créditos Banca múltiple,Delicias,78765
Créditos SOCAP,Delicias,21846
Créditos SOFIPO,Delicias,187
Créditos Total,Delicias,102913
Cuentas Banca de desarrollo,Delicias,5639
Cuentas Banca múltiple,Delicias,140006
Cuentas SOCAP,Delicias,69610
Cuentas SOFIPO,Delicias,2093
Cuentas Total,Delicias,217348
Medios de pago - transacciones en TPV Banca de desarrollo,Delicias,0
Medios de pago - transacciones en TPV Banca múltiple,Delicias,348342
Medios de pago - transacciones en TPV SOCAP,Delicias,0
Medios de pago - transacciones en TPV SOFIPO,Delicias,0
Medios de pago - transacciones en TPV Total,Delicias,348342
Remesas Ingreso por remesas por persona,Delicias,693
Remesas Millones de dólares,Delicias,1043
Sucursales Banca de desarrollo,Delicias,1
Sucursales Banca múltiple,Delicias,24
Sucursales SOCAP,Delicias,7
Sucursales SOFIPO,Delicias,2
Sucursales Total,Delicias,34
Terminales punto de venta Agregadores,Delicias,2696
Terminales punto de venta Banca de desarrollo,Delicias,0
Terminales punto de venta Banca múltiple,Delicias,2141
Terminales punto de venta SOCAP,Delicias,0
Terminales punto de venta SOFIPO,Delicias,0
Terminales punto de venta Total,Delicias,6978
Terminales punto de venta Total sin agregadores,Delicias,2141
Básicos Densidad poblacional (hab/km2),Delicias,282.3
Básicos Hombres,Delicias,0.491
Básicos Mujeres,Delicias,0.509
Básicos Población,Delicias,150506
Básicos Superficie (km2),Delicias,533.1
Básicos Total localidades,Delicias,325
Básicos Total viviendas particulares habitadas,Delicias,47679
Escolaridad 15 a 24 años,Delicias,0.991
Escolaridad 25 años o más,Delicias,0.977
Escolaridad Básica,Delicias,0.491
Escolaridad Media superior,Delicias,0.267
Escolaridad Sin escolaridad,Delicias,0.024
