Measure Names,Municipio,Measure Values
Básicos Población,Saucillo,"29,862"
Escolaridad Básica,Saucillo,0.621
Escolaridad Media superior,Saucillo,0.219
Escolaridad Sin escolaridad,Saucillo,0.031
Escolaridad Superior,Saucillo,0.125
PEA Hombres,Saucillo,0.649
PEA Mujeres,Saucillo,0.351
PEA Población Económicamente Activa,Saucillo,0.528
PEA Población no económicamente activa,Saucillo,0.469
TIC Computadora,Saucillo,0.319
TIC Internet,Saucillo,0.429
TIC Línea telefónica fija,Saucillo,0.217
TIC Televisión de paga,Saucillo,0.676
TIC Teléfono celular,Saucillo,0.921
Cajeros Automáticos Total,Saucillo,11
Créditos Total,Saucillo,"16,392"
Cuentas Total,Saucillo,"28,941"
Medios de pago - transacciones en TPV Total,Saucillo,"31,885"
Remesas Ingreso por remesas por persona,Saucillo,755
Remesas Millones de dólares,Saucillo,225
Sucursales Banca de desarrollo,Saucillo,1
Sucursales Banca múltiple,Saucillo,3
Sucursales SOCAP,Saucillo,2
Sucursales SOFIPO,Saucillo,0
Sucursales Total,Saucillo,6
Terminales punto de venta Agregadores,Saucillo,208
Terminales punto de venta Banca múltiple,Saucillo,158
Terminales punto de venta Total,Saucillo,528
Terminales punto de venta Total sin agregadores,Saucillo,160
